"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008049","Panama Papers","","OXUS GOLD PLC","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","EGY","Egypt","11008050","Panama Papers","MR. ALI TAKKASH 9 MOUDEYATTT AL TAHREER ST. FLAT NO.03 GARDEN CITY, CAIRO EGYPT","TAKKASH, ALI","","","","","","","","UNRECOVERABLE ACCOUNTS","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008051","Panama Papers","","VISTA HOMES LIMITED","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008052","Panama Papers","","RAPHAEL GROUP PLC","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008053","Panama Papers","","REGENT CONSULTANCY LTD","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008054","Panama Papers","","RODCRAFT LIMITED","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008055","Panama Papers","MR. E. SCOUNTJOS 9 THE LODGE 23 KENSINGTON PARK GARDENS LONDON W11 3HA ENGLAND, UNITED KINGDOM","SCOUNTJOS, E.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008056","Panama Papers","ACH ENTERPRISES LIMITED 49/F.; BANK OF CHINA TOWER 1 GARDEN ROAD CENTRAL; HONG KONG","ACH ENTERPRISES LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","BEL","Belgium","11008057","Panama Papers","MRS. JANINA C. FERRINGA; M.A. AVE. A BECHET NO.3; BOÎTE 6 1950 KRAAINEM BELGIUM","JANINE C. FERRINGA, M.A.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","GBR","United Kingdom","11008058","Panama Papers","","SCOTFORD HOLDINGS LTD.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","JEY;GBR","Jersey;United Kingdom","11008059","Panama Papers","FIRST PROPERTY INC C/O A.W. MEDLOCK SUITE 1; PHOENIX HOUSE 61 DAVID PLACE ST. HELIER; JERSEY JE2 4TE CHANNEL ISLANDS","FIRST PROPERTY INC","","","","","","","","INACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008060","Panama Papers","POLYEASE LTD. C/O 817 PENINSULA CENTRE 67 MOODY ROAD TSIMSHATSUI EAST, KOWLOON HONG KONG","POLYEASE LTD.","","","","","","","","SUSPENDED","",""
